college_code,college_name_full,college_name_short,college_type,district
1130,"MARG Instiute of Design & Architecture Swarnabhoomi (MIDAS), Marg Swarnabhoomi, Velur Village, Cheyyur Post, Kancheepuram District 603302",MARG Instiute of Design & Architecture Swarnabhoomi (MIDAS),Self Financing Engineering Colleges,Kancheepuram
1132,"Rajalakshmi School of Architecture, Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",Rajalakshmi School of Architecture,Self Financing Engineering Colleges,Kancheepuram
1133,"Annai Veilankannis College of Engineering, Gandhi Road, Nedungundram, Chennai 600048",Annai Veilankannis College of Engineering,Self Financing Engineering Colleges,Chennai
1134,"Surya School of Architecture, GST Road, Vikravandi Village, Villupuram District 605652",Surya School of Architecture,Self Financing Engineering Colleges,Villupuram
1135,"Aalim Muhammed Salegh Academy of Architecture, Muthapudupet, Avadi IAF, Chennai 600055",Aalim Muhammed Salegh Academy of Architecture,Self Financing Engineering Colleges,Chennai
1137,"Annai Mira College of Engineering and Technology, Arcot Road, Arappakkam Village, Walaja Taulk, Ranipet District 632 517",Annai Mira College of Engineering and Technology,Self Financing Engineering Colleges,Ranipet
1138,"Davinci School of Design and Architecture, Karapakkam, Chennai 600097",Davinci School of Design and Architecture,Self Financing Engineering Colleges,Chennai
1140,"Jeppiaar Institute of Technology,kunnam Village,Sriperumpudur Taulk,Kancheepuram District 631604",Jeppiaar Institute of Technology,Self Financing Engineering Colleges,Kancheepuram
1144,"R V S Padmavathy School of Architecture, Senthil Pakkam Village, Roshanagaram Post, Madarapakkam Via, Gummidipoondi Taluk, Thiruvallur District 601202",R V S Padmavathy School of Architecture,Self Financing Engineering Colleges,
1145,"Anand School of Architecture, Old Mahalibalipuram Road (OMR), Kazhipattur, Kancheepuram District 603103",Anand School of Architecture,Self Financing Engineering Colleges,Kancheepuram
1146,"Misrimal Navajee Munoth Jain School of Architecture, Rajiv Gandhi Salai (OMR), Thoraipakkam, Chennai 600096",Misrimal Navajee Munoth Jain School of Architecture,Self Financing Engineering Colleges,Chennai
1147,"MMES ACADEMY OF ARCHITECTURE, VELLORE",MMES ACADEMY OF ARCHITECTURE,Self Financing Engineering Colleges,Vellore
1149,"St. Joseph’s Institute of Technology, Jeppiaar Nagar, Old Mahabalipuram Road (OMR), Chennai 600119",St. Joseph’s Institute of Technology,Self Financing Engineering Colleges,Chennai
1150,"Sri Jayaram Institute of Engineering and Technology, 51 N, Elavur, 58N, Natham, Gummidipoondi Taluk, Thiruvallur District 601201",Sri Jayaram Institute of Engineering and Technology,Self Financing Engineering Colleges,
1152,"CAAD - Chennai Academy of Architecture and Design, No.24, Thumbakkam, ChennaiThirupathi Highway, Near Periyapalayam Amman Temple, Chennai 601102",CAAD - Chennai Academy of Architecture and Design,Self Financing Engineering Colleges,Chennai
1153,"Jawahar School of Architecture Planning and Design, No.54, K K Road, Saligramam, Chennai 600093",Jawahar School of Architecture Planning and Design,Self Financing Engineering Colleges,Chennai
1158,"International Maritime Academy, No.41, Jamin Korattur, Pudhuchatram, Chennai - 600 124",International Maritime Academy,Self Financing Engineering Colleges,Chennai
1202,"D M I College of Engineering, Palanchoor, Nazrethpet, Chennai 602103",D M I College of Engineering,Self Financing Engineering Colleges,Chennai
1205,"Lord Venkateshwara Engineering College, Walajabad Post, Kancheepuram District 631605",Lord Venkateshwara Engineering College,Self Financing Engineering Colleges,Kancheepuram
1207,"Kings Engineering College, Sriperumpudur Taluk, Kancheepuram District 602105",Kings Engineering College,Self Financing Engineering Colleges,Kancheepuram
1209,"Pallavan College of Engineering, Thimmasamudram, Kancheepuram District 631502",Pallavan College of Engineering,Self Financing Engineering Colleges,Kancheepuram
1210,"Panimalar Engineering College, Nazarethpet, Poonamallee, Chennai 602103",Panimalar Engineering College,Self Financing Engineering Colleges,Chennai
1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",Rajalakshmi Engineering College (Autonomous),Self Financing Engineering Colleges,Kancheepuram
1212,"Rajiv Gandhi College of Engineering, Nemili, Sriperumpudur Taluk, Kancheepuram District 602105",Rajiv Gandhi College of Engineering,Self Financing Engineering Colleges,Kancheepuram
1216,"Saveetha Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",Saveetha Engineering College (Autonomous),Self Financing Engineering Colleges,Kancheepuram
1217,"Sree Sastha Institute of Engineering and Technology, Chembarambakkam, Chennai 600103",Sree Sastha Institute of Engineering and Technology,Self Financing Engineering Colleges,Chennai
1218,"Sri Muthukumaran Institute of Technology, Near Mangadu, Chennai 600069",Sri Muthukumaran Institute of Technology,Self Financing Engineering Colleges,Chennai
1219,"Sri Venkateswara College of Engineering (Autonomous), Post Bag No.1, Chennai-Bengaluru High Road, Pennalur, Irungattukottai S.O., Sriperumbudur Taluk, Kancheepuram District 602117",Sri Venkateswara College of Engineering (Autonomous),Self Financing Engineering Colleges,Chennai
1221,"Jaya College of Engineering and Technology, Parivakkam, Poonamallee, Chennai 600056",Jaya College of Engineering and Technology,Self Financing Engineering Colleges,Chennai
1222,"P B College of Engineering, Irungkattukottai, Sriperumpudur Taluk, Kancheepuram District 602105",P B College of Engineering,Self Financing Engineering Colleges,Kancheepuram
1225,"Loyola Institute of Technology, Mevaloorkuppam, B Village, Palanchoor, Nazarethpet Post, Chennai 600123",Loyola Institute of Technology,Self Financing Engineering Colleges,Chennai
1226,"P T Lee Chengalvaraya Naicker College of Engineering and Technology, Oovery, Veliyur Post, Kancheepuram District 631 502",P T Lee Chengalvaraya Naicker College of Engineering and Technology,Self Financing Engineering Colleges,Kancheepuram
